scorer,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,tail,tail,tail,box_ul,box_ul,box_ul,box_ur,box_ur,box_ur,box_lr,box_lr,box_lr,box_ll,box_ll,box_ll
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
30,320.59326171875,43.11079406738281,0.001257978961803019,327.6131896972656,26.272415161132812,0.9988124370574951,330.2118835449219,24.663028717041016,0.09474661946296692,348.21875,53.18642044067383,1.0,72.42657470703125,48.632869720458984,1.0,324.9983825683594,5.8549699783325195,0.00019424223864916712,294.22027587890625,218.30160522460938,1.0,239.56617736816406,225.86463928222656,1.0
31,320.59326171875,43.11079406738281,0.024102242663502693,316.1864929199219,28.68280792236328,0.9999960660934448,318.592041015625,50.197837829589844,0.9999948740005493,348.21875,58.190406799316406,0.9991055130958557,72.38298797607422,48.632869720458984,1.0,324.9983825683594,5.8549699783325195,0.0019962291698902845,294.22027587890625,218.30160522460938,1.0,239.58828735351562,225.86463928222656,1.0
32,320.59326171875,43.11079406738281,0.02436222694814205,316.1308898925781,28.6905574798584,0.9999961853027344,318.5660400390625,50.26332092285156,0.9999953508377075,348.21875,58.19811248779297,0.9991199374198914,72.35840606689453,48.738677978515625,1.0,324.9983825683594,5.844370365142822,0.001996099017560482,294.2098083496094,218.30506896972656,1.0,239.61244201660156,225.86463928222656,1.0
33,270.557861328125,103.94071960449219,0.8617285490036011,302.444580078125,98.72942352294922,0.9999936819076538,283.9587707519531,81.49571990966797,0.9999998807907104,302.8904113769531,76.77303314208984,0.38763222098350525,72.35643768310547,48.76921463012695,1.0,340.6351623535156,4.840935230255127,0.9678932428359985,294.1174621582031,218.82786560058594,1.0,239.707763671875,225.84820556640625,1.0
34,270.54290771484375,103.96218872070312,0.8616452813148499,302.4403991699219,98.73296356201172,0.9999936819076538,283.9188537597656,81.53023529052734,0.9999998807907104,302.8893127441406,76.7732162475586,0.38625776767730713,72.35643768310547,48.76952362060547,1.0,340.6368103027344,4.840935230255127,0.9679053425788879,294.1174621582031,218.86090087890625,1.0,239.707763671875,225.84820556640625,1.0
35,270.5426940917969,103.96588134765625,0.8847823143005371,302.42083740234375,98.76883697509766,0.9999938011169434,283.9118957519531,81.5364990234375,0.9999998807907104,302.88690185546875,76.7825927734375,0.377178817987442,72.35840606689453,48.77165985107422,1.0,340.63763427734375,4.840935230255127,0.9677609205245972,294.1174621582031,218.86221313476562,1.0,239.707763671875,225.84820556640625,1.0
36,233.50228881835938,134.1822967529297,0.9942108392715454,260.8484802246094,129.46762084960938,0.9999946355819702,242.75637817382812,117.84628295898438,0.9999991655349731,260.5118103027344,100.7012710571289,1.0,72.83306884765625,48.84897994995117,1.0,360.1258544921875,47.07218933105469,0.0004158004594501108,294.3758239746094,219.96951293945312,1.0,239.43331909179688,225.81556701660156,1.0
37,233.50228881835938,134.18247985839844,0.9942108392715454,260.8463134765625,129.46849060058594,0.9999946355819702,242.75637817382812,117.84661102294922,0.9999991655349731,260.51080322265625,100.7012710571289,1.0,72.83306884765625,48.84897994995117,1.0,360.1258544921875,47.07267761230469,0.0004158004594501108,294.3758239746094,219.96951293945312,1.0,239.43331909179688,225.81556701660156,1.0
38,233.50131225585938,134.18247985839844,0.9942055344581604,260.8463134765625,129.46849060058594,0.9999946355819702,242.7561798095703,117.84661102294922,0.9999991655349731,260.51080322265625,100.7012710571289,1.0,72.83935546875,48.84897994995117,1.0,360.1275939941406,47.07267761230469,0.0004154587222728878,294.37615966796875,219.96951293945312,1.0,239.43270874023438,225.81532287597656,1.0
39,233.4956512451172,134.1822967529297,0.9942278861999512,260.8424987792969,129.46871948242188,0.9999946355819702,242.75588989257812,117.84628295898438,0.9999991655349731,260.5118103027344,100.70188903808594,1.0,72.92094421386719,48.8380012512207,1.0,360.1258544921875,47.07267761230469,0.00041572892223484814,294.37860107421875,219.96743774414062,1.0,239.43179321289062,225.81532287597656,1.0
40,233.49195861816406,134.1798858642578,0.9942861199378967,260.8376770019531,129.47752380371094,0.9999947547912598,242.75111389160156,117.81863403320312,0.9999992847442627,260.5177307128906,100.717041015625,1.0,72.92217254638672,48.8375358581543,1.0,360.1256103515625,47.07218933105469,0.0004268360207788646,294.4168395996094,219.94093322753906,1.0,239.4254608154297,225.81529235839844,1.0
41,233.4904022216797,134.1798858642578,0.994322657585144,260.814453125,129.4959716796875,0.9999946355819702,242.74801635742188,117.81806182861328,0.9999992847442627,260.5177307128906,100.71928405761719,1.0,72.92217254638672,48.83685302734375,1.0,360.1256103515625,47.071693420410156,0.0004253798397257924,294.4168395996094,219.94093322753906,1.0,239.4178466796875,225.8141632080078,1.0
